indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG01896	0.0403	0.0025	-0.0024	-0.0041	0.0227	-0.044	-0.0034	0.0513	0.0393	-0.0173	0.0921	-0.0187	-0.0613	-0.1149	0.0227	0.0156	-0.0854	0.1908	-0.045	0.051
HG01912	0.0267	-0.0045	0.0066	0.0038	-0.0116	-0.0366	-0.0076	-0.0098	0.0131	-0.0028	0.016	-0.0234	9e-04	0.013	0.008	0.0157	0.0016	0.0051	-0.0193	0.0102
HG01914	0.0329	-0.007	0.0077	0.002	0.0246	0.0181	0.0747	-0.0129	0.027	0.0301	-0.018	0.0068	-0.0151	0.0467	-0.0074	-0.0234	0.0755	-0.0303	-0.0591	0.0099
HG01915	0.0396	9e-04	0.0029	9e-04	0.0066	0.0329	0.0808	-0.0709	0.0242	-0.0188	-0.0074	-0.0432	0.021	0.0411	0.0107	-0.0778	0.0154	0.0118	0.0635	-0.082
HG01917	-0.0062	2e-04	0.0246	-0.0682	-0.0054	0.0025	-0.007	-0.0043	0.0113	-0.0134	0.0026	-2e-04	0.0045	-9e-04	-0.0013	-0.0024	0.0017	-0.015	0.0049	3e-04
HG01918	-0.0091	-9e-04	0.0203	-0.0538	-0.0057	1e-04	0.0041	-0.0054	-0.0021	-0.0039	9e-04	0.0018	2e-04	-0.0042	-0.0071	0.0012	0.001	0.0014	-0.0025	0.002
HG01920	-0.0089	0.0144	0.0266	-0.0885	-0.0081	0.0051	0.001	-0.0027	-0.004	-0.0038	-0.0034	0.0092	0.0084	-0.0068	-0.0021	-0.0039	-0.0062	-0.0097	0.0093	0.0045
HG01921	-0.0086	0.005	0.0163	-0.055	0.0064	0.0046	-0.0022	-0.0015	-0.0031	0.0082	-0.0033	0.0048	-0.0146	0.0098	-0.0031	-0.0071	0.0068	0.0126	-0.0079	-0.007
HG01923	-0.0097	0	0.0219	-0.0614	-0.0043	0.0035	-0.0018	-0.0072	0.0012	-0.011	0.0039	0.0039	0.0069	-0.0012	-1e-04	-0.0025	-0.0044	-0.0064	0.0072	0.0029
HG01924	-0.0065	0.0024	0.0091	-0.0528	-0.0015	0.0039	0.0044	-0.0045	-2e-04	-0.0033	0.0045	-7e-04	0	0.0017	-0.0017	-0.0057	0.004	-0.0038	-0.0051	-0.0028
HG01926	-0.0095	8e-04	0.0213	-0.079	-0.0075	-5e-04	-4e-04	0.0012	0.0028	-0.0076	-0.0035	4e-04	0.0082	-0.0015	-0.0018	0.0018	-0.004	-0.0043	0.0049	-5e-04
HG01927	-0.0096	0.0059	0.0148	-0.0645	-0.0061	-0.0017	-6e-04	-0.0016	-0.0018	-0.0028	-0.0032	-0.0028	0.0073	-0.0029	5e-04	-0.0024	-8e-04	-0.0038	-0.0026	-0.0022
HG01932	-0.0081	0.0052	0.0221	-0.0702	-0.0085	0.0045	-0.0029	-0.0081	0.0031	-0.0109	0.006	-8e-04	0.0052	-8e-04	-0.0056	-0.0033	-0.0016	-0.0066	-0.005	0.0011
HG01933	-0.0075	0.0098	0.0196	-0.0435	-0.0014	-0.0027	3e-04	-0.0057	-0.0065	-0.0022	-0.0039	-0.0023	-0.0015	-0.0062	2e-04	-0.0047	-7e-04	-0.0015	-0.0058	-0.0029
HG01935	-0.0094	0.0063	0.0217	-0.0665	-0.006	0.0079	0.0039	-0.0022	0.0032	-0.0081	6e-04	0.0056	0.0034	0.0017	-0.0036	6e-04	-0.0045	-0.0097	0.0106	0.0051
HG01936	-0.0081	-0.0047	0.0162	-0.0411	-4e-04	0.0081	0.004	0.0037	-9e-04	0.0078	-0.0067	0.0026	-0.0038	0.0016	2e-04	-0.006	0.0064	-0.0032	0.0103	-0.0021
